,epsilon,traces_before,traces_after,total_df_amount,total_df_deleted,df_percentage deleted,variants_before,variants_after,common_variants,runtime
0,0.01,1434.0,2355.0,44898.0,11439.0,0.2547774956568221,116.0,2002.0,4.0,2.9250969886779785
1,0.01,1434.0,2171.0,46010.0,12784.0,0.27785264073027605,116.0,1749.0,6.0,3.100257635116577
2,0.01,1434.0,1293.0,45440.0,10353.0,0.22783890845070423,116.0,1023.0,4.0,3.1366090774536133
3,0.01,1434.0,2357.0,45639.0,7905.0,0.17320712548478276,116.0,1979.0,8.0,3.1795217990875244
4,0.01,1434.0,2472.0,43492.0,9176.0,0.21098132989975169,116.0,1953.0,6.0,2.9314191341400146
5,0.01,1434.0,2350.0,49018.0,9815.0,0.2002325676282182,116.0,2061.0,5.0,3.1204936504364014
6,0.01,1434.0,2362.0,50356.0,16337.0,0.32443005798713165,116.0,1991.0,6.0,2.9208333492279053
7,0.01,1434.0,2388.0,47164.0,12852.0,0.27249597150368926,116.0,1802.0,7.0,2.8472535610198975
8,0.01,1434.0,2121.0,45962.0,13125.0,0.2855619859884252,116.0,1915.0,4.0,2.828322172164917
9,0.01,1434.0,2401.0,48928.0,10705.0,0.21879087638979725,116.0,1952.0,6.0,3.067361831665039
10,0.1,1434.0,1454.0,13241.0,1178.0,0.08896609017445813,116.0,634.0,12.0,1.0086054801940918
11,0.1,1434.0,1427.0,13278.0,1114.0,0.0838981774363609,116.0,604.0,10.0,1.0151147842407227
12,0.1,1434.0,1505.0,13369.0,1013.0,0.07577230907322911,116.0,678.0,13.0,1.1110477447509766
13,0.1,1434.0,1516.0,13377.0,1353.0,0.10114375420497869,116.0,696.0,11.0,1.0080225467681885
14,0.1,1434.0,1552.0,13665.0,886.0,0.06483717526527626,116.0,710.0,10.0,1.0523865222930908
15,0.1,1434.0,1474.0,13461.0,871.0,0.06470544536067158,116.0,718.0,14.0,1.061201810836792
16,0.1,1434.0,1470.0,13359.0,1519.0,0.1137061157272251,116.0,659.0,8.0,1.0724539756774902
17,0.1,1434.0,1480.0,13552.0,1413.0,0.10426505312868949,116.0,694.0,12.0,1.0056519508361816
18,0.1,1434.0,1471.0,13380.0,1333.0,0.09962630792227205,116.0,629.0,10.0,0.9945390224456787
19,0.1,1434.0,1389.0,13649.0,1376.0,0.10081324639167705,116.0,674.0,11.0,1.024402379989624
20,1.0,1434.0,1433.0,10155.0,97.0,0.009551944854751354,116.0,340.0,15.0,0.8550865650177002
21,1.0,1434.0,1435.0,10196.0,93.0,0.009121224009415457,116.0,344.0,16.0,0.9370555877685547
22,1.0,1434.0,1445.0,10230.0,89.0,0.008699902248289345,116.0,368.0,16.0,0.8520886898040771
23,1.0,1434.0,1433.0,10221.0,150.0,0.0146756677428823,116.0,351.0,15.0,0.8527102470397949
24,1.0,1434.0,1429.0,10191.0,156.0,0.015307624374448043,116.0,347.0,14.0,0.8432512283325195
25,1.0,1434.0,1418.0,10202.0,153.0,0.014997059400117623,116.0,347.0,15.0,0.8484652042388916
26,1.0,1434.0,1427.0,10193.0,137.0,0.013440596487785735,116.0,342.0,14.0,0.8429975509643555
27,1.0,1434.0,1422.0,10191.0,110.0,0.010793837699931311,116.0,351.0,15.0,0.9339351654052734
28,1.0,1434.0,1415.0,10216.0,179.0,0.017521534847298355,116.0,357.0,16.0,0.8414063453674316
29,1.0,1434.0,1436.0,10200.0,124.0,0.01215686274509804,116.0,341.0,15.0,0.862699031829834
