,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T11 Create document X request unlicensed>>>T12 Check document X request unlicensed>>>T14 Determine document X request unlicensed>>>T15 Print document X request unlicensed>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T06 Determine necessity of stop advice>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T16 Report reasons to hold request>>>T17 Check report Y to stop indication>>>T19 Determine report Y to stop indication>>>T20 Print report Y to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T04 Determine confirmation of receipt>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T11 Create document X request unlicensed>>>T12 Check document X request unlicensed>>>T14 Determine document X request unlicensed>>>T15 Print document X request unlicensed>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>TRACE_END,epsilon
0,713.0,123.0,116.0,115.0,75.0,40.0,28.0,25.0,13.0,12.0,12.0,10.0,10.0,8.0,7.0,6.0,6.0,4.0,3.0,2.0,99.9
1,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.01
2,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01
3,3.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01
4,10.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01
5,9.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.01
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01
7,3.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01
8,13.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,0.0,0.01
9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.01
10,3.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01
11,169.0,6.0,102.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.1
12,184.0,4.0,115.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,2.0,0.0,0.0,0.0,0.1
13,168.0,4.0,116.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,189.0,0.0,1.0,0.0,0.0,0.0,0.1
14,167.0,4.0,103.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.1
15,180.0,3.0,117.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.1
16,169.0,6.0,78.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,178.0,0.0,2.0,0.0,0.0,0.0,0.1
17,184.0,2.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.1
18,132.0,2.0,114.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,1.0,0.0,0.0,0.0,0.1
19,183.0,3.0,86.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,177.0,0.0,1.0,0.0,0.0,0.0,0.1
20,146.0,3.0,83.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.1
21,262.0,5.0,116.0,3.0,2.0,0.0,0.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,238.0,0.0,7.0,0.0,0.0,0.0,1.0
22,267.0,4.0,117.0,5.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,231.0,0.0,6.0,0.0,0.0,1.0,1.0
23,236.0,3.0,115.0,1.0,1.0,1.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,252.0,0.0,11.0,0.0,0.0,0.0,1.0
24,249.0,4.0,118.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,244.0,0.0,4.0,0.0,0.0,0.0,1.0
25,251.0,4.0,116.0,5.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,242.0,0.0,5.0,0.0,0.0,0.0,1.0
26,247.0,3.0,115.0,7.0,3.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,245.0,0.0,4.0,0.0,0.0,0.0,1.0
27,254.0,5.0,115.0,5.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,244.0,0.0,6.0,0.0,0.0,0.0,1.0
28,237.0,6.0,116.0,3.0,2.0,1.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,240.0,0.0,3.0,0.0,0.0,2.0,1.0
29,250.0,3.0,115.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,229.0,0.0,6.0,0.0,0.0,0.0,1.0
30,254.0,4.0,118.0,6.0,0.0,1.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,232.0,0.0,5.0,0.0,0.0,0.0,1.0
