,epsilon,traces_before,traces_after,variants_before,variants_after,common_variants,runtime
0,0.01,150370.0,112669.0,640.0,402.0,6.0,20.08065390586853
1,0.01,150370.0,170370.0,640.0,940.0,6.0,31.599121809005737
2,0.01,150370.0,113750.0,640.0,436.0,6.0,20.765114545822144
3,0.01,150370.0,157923.0,640.0,762.0,5.0,28.6831693649292
4,0.01,150370.0,157606.0,640.0,866.0,7.0,29.314685106277466
5,0.01,150370.0,114326.0,640.0,400.0,5.0,20.30255913734436
6,0.01,150370.0,150245.0,640.0,766.0,8.0,27.698212146759033
7,0.01,150370.0,116129.0,640.0,469.0,8.0,20.00272226333618
8,0.01,150370.0,132464.0,640.0,571.0,6.0,24.399943351745605
9,0.01,150370.0,162776.0,640.0,899.0,8.0,34.25606393814087
10,0.1,150370.0,71500.0,640.0,88.0,9.0,12.078081369400024
11,0.1,150370.0,70983.0,640.0,49.0,9.0,12.407238006591797
12,0.1,150370.0,72219.0,640.0,140.0,9.0,12.107936382293701
13,0.1,150370.0,71444.0,640.0,91.0,10.0,12.31605315208435
14,0.1,150370.0,72101.0,640.0,128.0,9.0,12.220422506332397
15,0.1,150370.0,71702.0,640.0,86.0,9.0,12.477412223815918
16,0.1,150370.0,71535.0,640.0,83.0,11.0,13.549584865570068
17,0.1,150370.0,71396.0,640.0,75.0,10.0,11.992635250091553
18,0.1,150370.0,72985.0,640.0,199.0,7.0,12.237472772598267
19,0.1,150370.0,72925.0,640.0,175.0,8.0,12.640986680984497
20,1.0,150370.0,70485.0,640.0,10.0,10.0,11.636406660079956
21,1.0,150370.0,70492.0,640.0,10.0,10.0,11.605489015579224
22,1.0,150370.0,70486.0,640.0,10.0,10.0,11.605003595352173
23,1.0,150370.0,70491.0,640.0,10.0,10.0,12.066738605499268
24,1.0,150370.0,70494.0,640.0,10.0,10.0,11.68186092376709
25,1.0,150370.0,70489.0,640.0,10.0,10.0,11.61781120300293
26,1.0,150370.0,70487.0,640.0,10.0,10.0,12.049758195877075
27,1.0,150370.0,70487.0,640.0,10.0,10.0,11.74172830581665
28,1.0,150370.0,70479.0,640.0,9.0,9.0,11.618276357650757
29,1.0,150370.0,70483.0,640.0,10.0,10.0,11.947853565216064
