,epsilon,traces_before,traces_after,total_df_amount,total_df_deleted,df_percentage deleted,variants_before,variants_after,common_variants,runtime
0,0.01,1050.0,1511.0,29006.0,7926.0,0.27325380955664347,846.0,1282.0,5.0,1.7649004459381104
1,0.01,1050.0,1435.0,27927.0,6825.0,0.2443871522182834,846.0,1172.0,2.0,1.8324992656707764
2,0.01,1050.0,1375.0,29651.0,6157.0,0.207648983170888,846.0,1203.0,2.0,2.192605495452881
3,0.01,1050.0,1491.0,26223.0,4813.0,0.18354116615185143,846.0,1183.0,2.0,1.9052622318267822
4,0.01,1050.0,1347.0,29718.0,7159.0,0.2408977723938354,846.0,1191.0,2.0,1.9849998950958252
5,0.01,1050.0,604.0,29371.0,5297.0,0.18034796227571415,846.0,567.0,0.0,1.9696145057678223
6,0.01,1050.0,1110.0,27118.0,6455.0,0.23803377830223468,846.0,886.0,4.0,1.645655632019043
7,0.01,1050.0,1244.0,27257.0,6686.0,0.24529478666030743,846.0,1093.0,2.0,1.6912782192230225
8,0.01,1050.0,1737.0,30309.0,3120.0,0.10293972087498762,846.0,1381.0,1.0,2.2448201179504395
9,0.01,1050.0,1217.0,30004.0,7508.0,0.2502333022263698,846.0,1097.0,0.0,1.8966224193572998
10,0.1,1050.0,1028.0,17061.0,979.0,0.05738233397807866,846.0,902.0,7.0,1.3353054523468018
11,0.1,1050.0,1005.0,17242.0,540.0,0.03131887252058926,846.0,895.0,9.0,1.3876867294311523
12,0.1,1050.0,974.0,16863.0,1538.0,0.09120559805491313,846.0,838.0,8.0,1.388625144958496
13,0.1,1050.0,987.0,17016.0,773.0,0.045427832628114714,846.0,878.0,4.0,1.3323657512664795
14,0.1,1050.0,997.0,17150.0,664.0,0.038717201166180756,846.0,874.0,7.0,1.3674299716949463
15,0.1,1050.0,951.0,17633.0,1219.0,0.0691317416208246,846.0,821.0,6.0,1.3409957885742188
16,0.1,1050.0,971.0,17248.0,566.0,0.03281539888682746,846.0,852.0,6.0,1.5035762786865234
17,0.1,1050.0,999.0,17183.0,837.0,0.04871093522667753,846.0,870.0,7.0,1.3347680568695068
18,0.1,1050.0,798.0,17021.0,1470.0,0.08636390341343046,846.0,695.0,5.0,1.2998251914978027
19,0.1,1050.0,990.0,17058.0,743.0,0.04355727517880174,846.0,857.0,13.0,1.3525569438934326
20,1.0,1050.0,1032.0,16314.0,83.0,0.005087654775039843,846.0,896.0,6.0,1.3405513763427734
21,1.0,1050.0,1043.0,16318.0,102.0,0.006250766025248192,846.0,900.0,12.0,1.4710826873779297
22,1.0,1050.0,1037.0,16296.0,72.0,0.004418262150220913,846.0,902.0,5.0,1.5123610496520996
23,1.0,1050.0,1030.0,16299.0,126.0,0.007730535615681944,846.0,891.0,13.0,1.3381876945495605
24,1.0,1050.0,1031.0,16321.0,111.0,0.006801053856994057,846.0,891.0,9.0,1.4030663967132568
25,1.0,1050.0,1039.0,16313.0,58.0,0.00355544657635015,846.0,907.0,7.0,1.3570306301116943
26,1.0,1050.0,1039.0,16323.0,87.0,0.005329902591435398,846.0,920.0,9.0,1.4626891613006592
27,1.0,1050.0,1036.0,16293.0,87.0,0.005339716442644081,846.0,899.0,12.0,1.338399887084961
28,1.0,1050.0,1046.0,16299.0,41.0,0.0025154917479599977,846.0,909.0,13.0,1.3564178943634033
29,1.0,1050.0,1051.0,16314.0,35.0,0.002145396591884271,846.0,920.0,8.0,1.3816087245941162
