,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>LacticAcid>>>CRP>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>LacticAcid>>>Leucocytes>>>CRP>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>CRP>>>Leucocytes>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>IV Liquid>>>CRP>>>Leucocytes>>>LacticAcid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>LacticAcid>>>CRP>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>CRP>>>Leucocytes>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>Leucocytes>>>CRP>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>Leucocytes>>>CRP>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>LacticAcid>>>Leucocytes>>>CRP>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>ER Sepsis Triage>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>IV Liquid>>>IV Antibiotics>>>Leucocytes>>>LacticAcid>>>CRP>>>TRACE_END,epsilon
0,35.0,24.0,22.0,13.0,11.0,9.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,99.9
1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
7,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
11,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
12,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
13,22.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
14,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
15,38.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
16,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
17,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
18,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
19,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20,41.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
