,epsilon,traces_before,traces_after,total_df_amount,total_df_deleted,df_percentage deleted,variants_before,variants_after,common_variants,runtime
0,0.01,150370.0,149255.0,716922.0,7029.0,0.00980441386929122,231.0,1329.0,55.0,59.4176869392395
1,0.01,150370.0,149216.0,718122.0,5599.0,0.0077967253475036274,231.0,1353.0,61.0,60.15617823600769
2,0.01,150370.0,150249.0,716988.0,6100.0,0.00850781324094685,231.0,1058.0,62.0,53.905370235443115
3,0.01,150370.0,150160.0,717762.0,5158.0,0.007186226074938489,231.0,1270.0,57.0,54.68866467475891
4,0.01,150370.0,149147.0,716249.0,6855.0,0.009570693990497718,231.0,1242.0,63.0,64.65068411827087
5,0.01,150370.0,149258.0,715972.0,8935.0,0.012479538305967272,231.0,1140.0,57.0,59.93506193161011
6,0.01,150370.0,150145.0,717548.0,3799.0,0.005294419328044953,231.0,1212.0,58.0,65.51751899719238
7,0.01,150370.0,150653.0,716807.0,5029.0,0.0070158355038385505,231.0,1113.0,52.0,69.5449526309967
8,0.01,150370.0,149937.0,716128.0,6006.0,0.008386768845792932,231.0,1149.0,54.0,58.691694021224976
9,0.01,150370.0,149610.0,718028.0,5663.0,0.00788687906321202,231.0,1211.0,56.0,60.820013761520386
10,0.1,150370.0,150298.0,712098.0,640.0,0.0008987526997688521,231.0,628.0,62.0,64.50347518920898
11,0.1,150370.0,150221.0,712339.0,738.0,0.0010360235786612835,231.0,703.0,62.0,55.944748640060425
12,0.1,150370.0,150173.0,712221.0,1067.0,0.0014981304960117717,231.0,671.0,62.0,60.289052963256836
13,0.1,150370.0,150230.0,712409.0,696.0,0.0009769668827878367,231.0,720.0,64.0,64.06586599349976
14,0.1,150370.0,150359.0,712311.0,484.0,0.0006794784862230121,231.0,676.0,67.0,59.04511380195618
15,0.1,150370.0,150382.0,712357.0,474.0,0.0006653967041806286,231.0,683.0,63.0,59.04217553138733
16,0.1,150370.0,150333.0,712328.0,610.0,0.000856347076066082,231.0,692.0,68.0,62.73976469039917
17,0.1,150370.0,150327.0,712117.0,552.0,0.000775153521120827,231.0,652.0,65.0,58.400527000427246
18,0.1,150370.0,150265.0,712421.0,919.0,0.0012899675893888586,231.0,706.0,61.0,64.08998823165894
19,0.1,150370.0,150317.0,712004.0,529.0,0.0007429733540822804,231.0,630.0,66.0,68.3366813659668
20,1.0,150370.0,150367.0,711847.0,46.0,6.462062774725468e-05,231.0,540.0,66.0,61.03623986244202
21,1.0,150370.0,150364.0,711857.0,60.0,8.428659126762819e-05,231.0,556.0,68.0,61.38100600242615
22,1.0,150370.0,150358.0,711866.0,68.0,9.552359573290479e-05,231.0,562.0,63.0,68.73645162582397
23,1.0,150370.0,150370.0,711871.0,41.0,5.759470465856876e-05,231.0,565.0,69.0,60.5773184299469
24,1.0,150370.0,150355.0,711847.0,94.0,0.00013205084800525956,231.0,599.0,68.0,62.54692554473877
25,1.0,150370.0,150367.0,711844.0,27.0,3.7929658745455464e-05,231.0,573.0,65.0,67.19270348548889
26,1.0,150370.0,150367.0,711849.0,27.0,3.792939232899112e-05,231.0,568.0,64.0,57.41253042221069
27,1.0,150370.0,150365.0,711866.0,58.0,8.147600812512467e-05,231.0,560.0,65.0,57.573042154312134
28,1.0,150370.0,150360.0,711867.0,85.0,0.00011940432693185665,231.0,592.0,66.0,61.35475277900696
29,1.0,150370.0,150360.0,711858.0,76.0,0.00010676286562769541,231.0,575.0,72.0,53.692307233810425
