,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Payment>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Payment>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Payment>>>Send Fine>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Appeal to Judge>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>Add penalty>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Appeal to Judge>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Payment>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>Add penalty>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Send for Credit Collection>>>TRACE_END,epsilon
0,56482.0,46371.0,20385.0,9520.0,3736.0,3301.0,3131.0,2497.0,1515.0,522.0,443.0,362.0,139.0,135.0,126.0,114.0,108.0,89.0,88.0,81.0,99.9
1,49765.0,40345.0,20551.0,14196.0,776.0,35.0,2635.0,54.0,238.0,118.0,108.0,50.0,1.0,13.0,20.0,0.0,42.0,37.0,0.0,0.0,0.01
2,49971.0,39942.0,20197.0,13925.0,763.0,41.0,2805.0,52.0,337.0,137.0,113.0,77.0,2.0,8.0,59.0,0.0,38.0,47.0,0.0,0.0,0.01
3,49863.0,40318.0,20400.0,14295.0,773.0,35.0,2771.0,53.0,297.0,144.0,122.0,56.0,0.0,14.0,42.0,0.0,61.0,48.0,2.0,0.0,0.01
4,49748.0,40360.0,20602.0,14129.0,802.0,33.0,2962.0,55.0,347.0,141.0,170.0,97.0,0.0,16.0,0.0,0.0,52.0,42.0,0.0,0.0,0.01
5,49854.0,39885.0,20295.0,14039.0,765.0,33.0,2765.0,53.0,314.0,128.0,102.0,123.0,0.0,15.0,43.0,0.0,62.0,79.0,1.0,0.0,0.01
6,49797.0,40480.0,20446.0,14242.0,777.0,36.0,2791.0,50.0,345.0,135.0,84.0,84.0,3.0,19.0,23.0,0.0,67.0,46.0,0.0,0.0,0.01
7,50476.0,40006.0,20401.0,14034.0,782.0,46.0,3053.0,62.0,331.0,128.0,87.0,68.0,1.0,20.0,34.0,0.0,57.0,52.0,1.0,0.0,0.01
8,50071.0,40443.0,20683.0,14297.0,758.0,40.0,2775.0,48.0,277.0,133.0,72.0,37.0,0.0,13.0,0.0,0.0,68.0,24.0,0.0,0.0,0.01
9,50570.0,40101.0,20563.0,14325.0,810.0,39.0,2798.0,49.0,307.0,150.0,81.0,53.0,1.0,0.0,40.0,0.0,2.0,26.0,0.0,0.0,0.01
10,49242.0,40203.0,20388.0,14259.0,803.0,45.0,2986.0,52.0,288.0,120.0,144.0,61.0,1.0,0.0,24.0,0.0,0.0,44.0,3.0,0.0,0.01
11,51250.0,40645.0,20628.0,14544.0,791.0,38.0,2792.0,67.0,319.0,150.0,132.0,56.0,4.0,38.0,35.0,0.0,100.0,47.0,2.0,0.0,0.1
12,51167.0,40653.0,20590.0,14470.0,826.0,39.0,2837.0,56.0,331.0,136.0,120.0,61.0,2.0,22.0,26.0,0.0,97.0,40.0,1.0,0.0,0.1
13,51202.0,40546.0,20599.0,14515.0,774.0,43.0,2843.0,51.0,336.0,121.0,125.0,76.0,4.0,30.0,32.0,1.0,94.0,47.0,4.0,0.0,0.1
14,51199.0,40605.0,20604.0,14391.0,778.0,49.0,2823.0,69.0,348.0,152.0,134.0,68.0,3.0,24.0,27.0,0.0,112.0,50.0,1.0,0.0,0.1
15,51279.0,40691.0,20619.0,14491.0,830.0,47.0,2856.0,58.0,302.0,140.0,112.0,72.0,1.0,28.0,32.0,0.0,97.0,53.0,2.0,0.0,0.1
16,51348.0,40657.0,20628.0,14430.0,828.0,49.0,2870.0,53.0,330.0,140.0,113.0,72.0,0.0,37.0,30.0,1.0,77.0,51.0,6.0,0.0,0.1
17,51244.0,40546.0,20619.0,14542.0,786.0,26.0,2833.0,53.0,344.0,127.0,121.0,67.0,2.0,20.0,32.0,0.0,92.0,41.0,5.0,0.0,0.1
18,51324.0,40630.0,20639.0,14446.0,791.0,33.0,2827.0,50.0,339.0,150.0,130.0,68.0,5.0,43.0,35.0,0.0,97.0,59.0,3.0,1.0,0.1
19,51182.0,40661.0,20622.0,14439.0,809.0,37.0,2872.0,74.0,341.0,132.0,141.0,64.0,4.0,31.0,39.0,0.0,94.0,45.0,2.0,0.0,0.1
20,51391.0,40641.0,20658.0,14427.0,792.0,36.0,2854.0,59.0,344.0,152.0,134.0,64.0,2.0,27.0,35.0,0.0,88.0,63.0,1.0,0.0,0.1
21,51424.0,40654.0,20641.0,14510.0,823.0,28.0,2858.0,73.0,326.0,135.0,121.0,69.0,2.0,25.0,34.0,0.0,102.0,49.0,4.0,0.0,1.0
22,51429.0,40693.0,20636.0,14447.0,819.0,34.0,2810.0,68.0,368.0,123.0,129.0,70.0,3.0,16.0,42.0,0.0,119.0,57.0,5.0,0.0,1.0
23,51373.0,40722.0,20628.0,14470.0,827.0,37.0,2833.0,68.0,326.0,126.0,123.0,79.0,2.0,28.0,35.0,0.0,97.0,45.0,1.0,0.0,1.0
24,51379.0,40693.0,20628.0,14480.0,825.0,40.0,2850.0,53.0,362.0,149.0,116.0,64.0,4.0,46.0,38.0,0.0,102.0,48.0,2.0,0.0,1.0
25,51417.0,40625.0,20651.0,14494.0,810.0,24.0,2861.0,62.0,317.0,132.0,140.0,55.0,4.0,30.0,31.0,0.0,102.0,37.0,1.0,0.0,1.0
26,51403.0,40719.0,20647.0,14476.0,826.0,43.0,2806.0,61.0,330.0,136.0,128.0,64.0,5.0,21.0,35.0,0.0,106.0,38.0,1.0,0.0,1.0
27,51452.0,40633.0,20637.0,14492.0,797.0,49.0,2837.0,69.0,341.0,108.0,122.0,74.0,5.0,25.0,36.0,0.0,103.0,49.0,3.0,0.0,1.0
28,51436.0,40677.0,20641.0,14448.0,851.0,34.0,2865.0,71.0,302.0,130.0,131.0,73.0,2.0,27.0,31.0,0.0,96.0,47.0,2.0,0.0,1.0
29,51391.0,40706.0,20635.0,14520.0,772.0,38.0,2885.0,65.0,332.0,159.0,112.0,72.0,6.0,37.0,33.0,0.0,98.0,51.0,7.0,0.0,1.0
30,51399.0,40685.0,20633.0,14551.0,800.0,41.0,2829.0,45.0,318.0,161.0,115.0,67.0,7.0,27.0,29.0,0.0,104.0,40.0,5.0,0.0,1.0
