,epsilon,traces_before,traces_after,variants_before,variants_after,common_variants,runtime
0,0.01,1434.0,2042341.0,664.0,19705.0,5.0,547.3668308258057
1,0.01,1434.0,1576625.0,664.0,15165.0,4.0,435.42185282707214
2,0.01,1434.0,1349292.0,664.0,13004.0,4.0,378.34528946876526
3,0.01,1434.0,1799566.0,664.0,17287.0,3.0,525.5963523387909
4,0.01,1434.0,1041587.0,664.0,10010.0,4.0,298.79299426078796
5,0.01,1434.0,1366235.0,664.0,13246.0,6.0,352.834924697876
6,0.01,1434.0,1541450.0,664.0,14832.0,4.0,438.26361870765686
7,0.01,1434.0,2611209.0,664.0,25223.0,4.0,1021.2497260570526
8,0.01,1434.0,1889788.0,664.0,18175.0,4.0,677.9268112182617
9,0.01,1434.0,1307561.0,664.0,12625.0,5.0,378.16615557670593
10,0.1,1434.0,13980.0,664.0,1001.0,2.0,12.189310312271118
11,0.1,1434.0,41961.0,664.0,3075.0,6.0,11.056457996368408
12,0.1,1434.0,35497.0,664.0,2623.0,3.0,8.976343631744385
13,0.1,1434.0,35126.0,664.0,2514.0,6.0,8.74314546585083
14,0.1,1434.0,42272.0,664.0,3134.0,8.0,10.8115553855896
15,0.1,1434.0,34908.0,664.0,2546.0,5.0,8.64875864982605
16,0.1,1434.0,42139.0,664.0,3059.0,4.0,10.430095195770264
17,0.1,1434.0,30571.0,664.0,2257.0,3.0,7.7176194190979
18,0.1,1434.0,30141.0,664.0,2253.0,5.0,7.504565000534058
19,0.1,1434.0,43559.0,664.0,3278.0,4.0,10.932406187057495
20,1.0,1434.0,129.0,664.0,3.0,3.0,0.14246010780334473
21,1.0,1434.0,128.0,664.0,3.0,3.0,0.03394675254821777
22,1.0,1434.0,127.0,664.0,3.0,2.0,0.033226966857910156
23,1.0,1434.0,127.0,664.0,3.0,2.0,0.033756256103515625
24,1.0,1434.0,126.0,664.0,3.0,3.0,0.031938791275024414
25,1.0,1434.0,126.0,664.0,3.0,3.0,0.03789949417114258
26,1.0,1434.0,125.0,664.0,3.0,3.0,0.10073018074035645
27,1.0,1434.0,126.0,664.0,3.0,3.0,0.03590226173400879
28,1.0,1434.0,130.0,664.0,4.0,4.0,0.050864219665527344
29,1.0,1434.0,125.0,664.0,3.0,3.0,0.04986691474914551
