,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T11 Create document X request unlicensed>>>T12 Check document X request unlicensed>>>T14 Determine document X request unlicensed>>>T15 Print document X request unlicensed>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T06 Determine necessity of stop advice>>>T05 Print and send confirmation of receipt>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T16 Report reasons to hold request>>>T17 Check report Y to stop indication>>>T19 Determine report Y to stop indication>>>T20 Print report Y to stop indication>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T04 Determine confirmation of receipt>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T10 Determine necessity to stop indication>>>T05 Print and send confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>TRACE_END,Confirmation of receipt>>>T06 Determine necessity of stop advice>>>T02 Check confirmation of receipt>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T06 Determine necessity of stop advice>>>T10 Determine necessity to stop indication>>>T04 Determine confirmation of receipt>>>T05 Print and send confirmation of receipt>>>T11 Create document X request unlicensed>>>T12 Check document X request unlicensed>>>T14 Determine document X request unlicensed>>>T15 Print document X request unlicensed>>>TRACE_END,Confirmation of receipt>>>T02 Check confirmation of receipt>>>T03 Adjust confirmation of receipt>>>T02 Check confirmation of receipt>>>TRACE_END,epsilon
0,713.0,123.0,116.0,115.0,75.0,40.0,28.0,25.0,13.0,12.0,12.0,10.0,10.0,8.0,7.0,6.0,6.0,4.0,3.0,2.0,99.9
1,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.01
2,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.01
3,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,76.0,0.0,0.0,0.01
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.01
5,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01
6,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,103.0,0.01
7,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.01
8,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.01
9,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.01
10,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,326.0,0.01
11,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
12,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,17.0,0.0,5.0,0.1
13,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1
14,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.1
15,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,78.0,0.0,27.0,0.1
16,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.1
17,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.1
18,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1
19,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.1
20,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1
21,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,1.0
22,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0
23,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
