,epsilon,traces_before,traces_after,variants_before,variants_after,common_variants,runtime
0,0.01,1050.0,1486812.0,7481.0,14150.0,4.0,503.4159097671509
1,0.01,1050.0,1988452.0,7481.0,19042.0,2.0,812.3243706226349
2,0.01,1050.0,1544158.0,7481.0,14984.0,3.0,531.0308175086975
3,0.01,1050.0,1575782.0,7481.0,15015.0,3.0,582.1269252300262
4,0.01,1050.0,1619247.0,7481.0,15683.0,1.0,634.5821416378021
5,0.01,1050.0,2152873.0,7481.0,20602.0,3.0,1006.7358720302582
6,0.01,1050.0,1799943.0,7481.0,17346.0,3.0,711.8452870845795
7,0.01,1050.0,1188369.0,7481.0,11561.0,4.0,452.7559962272644
8,0.01,1050.0,2023145.0,7481.0,19610.0,0.0,785.2648422718048
9,0.01,1050.0,2336431.0,7481.0,22577.0,1.0,1101.3575518131256
10,0.1,1050.0,44804.0,7481.0,3364.0,5.0,16.780237197875977
11,0.1,1050.0,53623.0,7481.0,3899.0,7.0,15.474922180175781
12,0.1,1050.0,32718.0,7481.0,2424.0,5.0,9.617363452911377
13,0.1,1050.0,31335.0,7481.0,2358.0,4.0,9.244002342224121
14,0.1,1050.0,38901.0,7481.0,2849.0,5.0,11.310452222824097
15,0.1,1050.0,47009.0,7481.0,3471.0,5.0,13.878826379776001
16,0.1,1050.0,37990.0,7481.0,2764.0,4.0,11.161381244659424
17,0.1,1050.0,26814.0,7481.0,2037.0,5.0,7.760977506637573
18,0.1,1050.0,41835.0,7481.0,3110.0,4.0,12.184735774993896
19,0.1,1050.0,50405.0,7481.0,3657.0,6.0,16.043039560317993
20,1.0,1050.0,96.0,7481.0,6.0,6.0,0.17735934257507324
21,1.0,1050.0,88.0,7481.0,4.0,4.0,0.05566263198852539
22,1.0,1050.0,107.0,7481.0,8.0,6.0,0.05564379692077637
23,1.0,1050.0,90.0,7481.0,5.0,5.0,0.05927228927612305
24,1.0,1050.0,104.0,7481.0,8.0,7.0,0.06295275688171387
25,1.0,1050.0,94.0,7481.0,6.0,5.0,0.0547633171081543
26,1.0,1050.0,89.0,7481.0,5.0,5.0,0.052408695220947266
27,1.0,1050.0,96.0,7481.0,6.0,5.0,0.054190635681152344
28,1.0,1050.0,91.0,7481.0,5.0,5.0,0.05668044090270996
29,1.0,1050.0,94.0,7481.0,6.0,6.0,0.05113625526428223
