,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>LacticAcid>>>CRP>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>LacticAcid>>>Leucocytes>>>CRP>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>CRP>>>Leucocytes>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>IV Liquid>>>CRP>>>Leucocytes>>>LacticAcid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>CRP>>>Leucocytes>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>LacticAcid>>>CRP>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>CRP>>>Leucocytes>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>Leucocytes>>>CRP>>>LacticAcid>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>Leucocytes>>>CRP>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>Leucocytes>>>CRP>>>ER Sepsis Triage>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>LacticAcid>>>Leucocytes>>>CRP>>>IV Liquid>>>IV Antibiotics>>>Admission NC>>>Release A>>>TRACE_END,ER Registration>>>ER Triage>>>CRP>>>LacticAcid>>>Leucocytes>>>ER Sepsis Triage>>>IV Liquid>>>IV Antibiotics>>>TRACE_END,ER Registration>>>ER Triage>>>ER Sepsis Triage>>>IV Liquid>>>IV Antibiotics>>>Leucocytes>>>LacticAcid>>>CRP>>>TRACE_END,epsilon
0,35.0,24.0,22.0,13.0,11.0,9.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,99.9
1,6.0,165.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
3,116.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
5,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
6,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
7,214.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
8,41.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
10,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
11,38.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1
12,16.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.1
13,40.0,32.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
14,41.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
15,30.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
16,42.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1
17,34.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
18,26.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
19,28.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20,50.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.1
21,35.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
22,35.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,33.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
24,35.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
25,34.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
26,35.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
27,35.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
28,35.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
29,36.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
30,36.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
