,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Payment>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Payment>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Payment>>>Send Fine>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Appeal to Judge>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>Add penalty>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Appeal to Judge>>>Add penalty>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Payment>>>Send Fine>>>Insert Fine Notification>>>Add penalty>>>Payment>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Add penalty>>>Send Appeal to Prefecture>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Send for Credit Collection>>>TRACE_END,Create Fine>>>Send Fine>>>Insert Fine Notification>>>Insert Date Appeal to Prefecture>>>Send Appeal to Prefecture>>>Add penalty>>>Receive Result Appeal from Prefecture>>>Notify Result Appeal to Offender>>>Send for Credit Collection>>>TRACE_END,epsilon
0,56482.0,46371.0,20385.0,9520.0,3736.0,3301.0,3131.0,2497.0,1515.0,522.0,443.0,362.0,139.0,135.0,126.0,114.0,108.0,89.0,88.0,81.0,99.9
1,0.0,46489.0,20553.0,0.0,0.0,0.0,3018.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2,0.0,46456.0,20389.0,0.0,0.0,0.0,3136.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
3,0.0,46557.0,20258.0,0.0,0.0,0.0,3146.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,0.0,46295.0,20488.0,0.0,0.0,0.0,3099.0,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
5,0.0,46311.0,20264.0,0.0,0.0,0.0,2933.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.01
6,0.0,46376.0,20120.0,0.0,0.0,0.0,3006.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.01
7,0.0,46203.0,20484.0,0.0,0.0,0.0,3135.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.01
8,0.0,46365.0,20331.0,0.0,0.0,0.0,3046.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.01
9,0.0,46341.0,20409.0,0.0,0.0,0.0,3115.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.01
10,0.0,46386.0,20320.0,0.0,0.0,0.0,3120.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.01
11,0.0,46356.0,20381.0,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.1
12,0.0,46378.0,20385.0,0.0,0.0,0.0,3122.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.1
13,0.0,46387.0,20395.0,0.0,0.0,0.0,3131.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.1
